Fake Idiom,Source Idiom,Category
گربه را دم دروازه کشتن,گربه را دم حجله کشتن,Word Perturbation
خیار برای کسی خرد نکردن,تره برای کسی خرد نکردن,Word Perturbation
آب پاک خورده,شیر پاک خورده,Word Perturbation
مثل خرگوش در گل ماندن,مثل خر در گل ماندن,Word Perturbation
گربه ی خوش خط و خال,مار خوش خط و خال,Word Perturbation
گندم باید به دهن بزی شیرین باشه,علف باید به دهن بزی شیرین باشه,Word Perturbation
شیری یا کبوتر؟,شیری یا روباه؟,Word Perturbation
هرکی هندونه میخوره پای لرزش هم میشینه,هرکی خربزه میخوره پای لرزش هم میشینه,Word Perturbation
شکر نشناس بودن,نمک نشناس بودن,Word Perturbation
از دل و روده افتادن,از دل و دماغ افتادن,Word Perturbation
با پشم سر بریدن,با پنبه سر بریدن,Word Perturbation
پولش از جارو بالا میرود,پولش از پارو بالا میرود,Word Perturbation
مثل نهنگ آب کشیده,مثل موش آب کشیده,Word Perturbation
اگر چمن زنی باغچه ی خودت رو چمن بزن,اگر بیل زنی باغچه ی خودت رو بیل بزن,Word Perturbation
باتوم خدا صدا ندارد,چوب خدا صدا ندارد,Word Perturbation
دیوار گوش دارد، گوش هم موش دارد,دیوار موش دارد، موش گوش دارد,Word Perturbation
نان نخورده و دهن سوخته,آش نخورده و دهن سوخته,Word Perturbation
اسب در خواب بیند پنبه دانه,شتر در خواب بیند پنبه دانه,Word Perturbation
با یک تبر دو نشان زدن,با یک تیر دو نشان زدن,Word Perturbation
ماه پشت خورشید نمیماند,ماه پشت ابر نمیماند,Word Perturbation
به گوش خرگوش یاسین خواندن,به گوش خر یاسین خواندن,Word Perturbation
دست روی دم کسی گذاشتن,پا روی دم کسی گذاشتن,Word Perturbation
پارسال دوست امسال فامیل,پارسال دوست امسال آشنا,Word Perturbation
یک الاغ چهل الاغ کردن,یک کلاغ چهل کلاغ کردن,Word Perturbation
لقمه را باید اندازه دست برداشت,لقمه را باید اندازه دهان برداشت,Word Perturbation
آب از کمر گل آلود است,اب از سرچشمه گل آلود است,Word Perturbation
هیزم بیار معرکه,اتش بیار معرکه,Word Perturbation
اسب بیار و باقالی بار کن,خر بیار و باقالی بار کن,Word Perturbation
دود از شاخه بلند شدن,دود از کله بلند شدن,Word Perturbation
انار سرخ برای دست  ,سیب سرخ برای دست چلاقه,Word Perturbation
روسری سر کسی گذاشتن,کلاه سر کسی گذاشتن,Word Perturbation
پیراهن علی کردن,پیراهن عثمان کردن,Word Perturbation
لقمه را دور دهن چرخاندن,لقمه را دور سر چرخاندن,Word Perturbation
سرش بوی قیمه قرمه می‌دهد,سرش بوی قرمه‌سبزی می‌دهد,Word Perturbation
دست کسی را پیچاندن,گوش کسی را پیچاندن,Word Perturbation
دیگی که برای من نجوشه، می‌خواهم سر الاغ توش بجوشه,دیگی که برای من نجوشد، می‌خواهم سر سگ توش بجوشه,Word Perturbation
به روی کسی تشنه بودن,به خون کسی تشنه بودن,Word Perturbation
از این خانه به آن خانه فرج است,از این ستون به آن ستون فرج است,Word Perturbation
مومن تر از پاپ,کاتولیک تر از پاپ,Word Perturbation
از هول آش توی دیگ افتادن,از هول حلیم توی دیگ افتادن,Word Perturbation
از این سوراخ گرفتن، از آن سوراخ درکردن,از این گوش گرفتن، از آن گوش درکردن,Word Perturbation
یک هوا و دو بام,یک بام و دو هوا,Word Perturbation
خورشید پشت ابر نمی‌ماند,ماه پشت ابر نمی‌ماند,Word Perturbation
اب از دریا تکان نخوردن,اب از اب تکان نخوردن,Word Perturbation
دل به دریاچه زدن,دل به دریا زدن,Word Perturbation
پشم لای درزش نرفتن,مو لای درزش نرفتن,Word Perturbation
از دماغ شتر افتادن,از دماغ فیل افتادن,Word Perturbation
چشم باز غیب گفتن,چشم بسته غیب گفتن,Word Perturbation
چوب لای دوچرخه کسی گذاشتن,چوب لای چرخ کسی گذاشتن,Word Perturbation
از هفت آسمان آزاد بودن,از هفت دولت آزاد بودن,Word Perturbation
