farsi_idiom,Meaning
به بار اوردن,به ثمر رسیدن
چیزی نه به دار است نه به بار,هنوز مشخص یا یقینی نیست و نمی‌توان به تحقق آن امیدوار بود.
حال وهوای کسی یا کاری را نداشتن,تمایلی به انجام کاری یا ارتباط با کسی نداشتن.
اشتهای کسی را کور کردن,اشتیاق به غذا خوردن را کاهش دادن یا برطرف کردن
دل پری از کسی داشتن,نسبت به کسی دلخور یا ناراحت یا شاکی بودن
با پای خود به گور رفتن,با بی‌توجهی، خود را با خطر جدی مواجه کردن.
اگر توی سر سگ بزنی می ریزد,اشاره به کثرت و بی‌اهمیت بودن چیزی
تعارف شاه عبدالعظیمی,تعارف بی‌صداقت یا غیرواقعی تعارفی که واقعی و از دل نباشد.
اتمام حجت کردن با کسی,به کسی تصمیم قطعی خود را با اخطار ابراز کردن
عرش را سیر کردن,غرق در شادی و مسرت بودن
جای دوری نرفتن,بی‌ثمر نبودن نیکوکاری کسی
پا پس کشیدن,صرف‌نظر کردن از انجام کاری
اب از سرچشمه گل الود بودن,آشفتگی از ریشه و سرچشمه کار
بدون اجازه ی کسی اب نخوردن,کاملاً از کسی پیروی کردن
زبان ادم سر کسی نشدن,تنها زبان خشونت را درک کردن یا درک نداشتن.
از کسی زهر چشم گرفتن,ترساندن شدید کسی با انجام کاری
اب بر اتش زدن,آرام‌سازی به معنای کاهش یا رفع خشم یا فرو نشاندن ناآرامی است.
راه جلوی پای کسی گذاشتن,هدایت کردن فردی
راست وریست شدن,منظم و مرتب شدن
بابای کسی درامدن,متحمل رنج و دشواری فراوانی شدن
بال وپر دادن به کسی,حمایت از فردی
تافته ی جدابافته,فردی که خود را برتر از دیگران می‌پندارد.
پای کسی درکار بودن,مشارکت در امری
اعصاب برای کسی نگذاشتن,ایجاد ناراحتی، عصبانیت یا اضطراب در کسی.
زرت وپرت کردن,حرف‌های بی‌فایده زدن
به اسم کسی تمام کردن,متهم کردن فردی به انجام کاری که مرتکب نشده است.
چیزی را ماست مالی کردن,کوشش برای نادیده گرفته شدن یا انجام دادن کاری به‌طور سطحی
دل پرخونی از کسی داشتن,از فردی بسیار دلخور یا عصبانی بودن
اب را زیر هفت طبقه زمین دیدن,باهوش و زیرک بودن
پای کسی جلو نرفتن,عدم تمایل به انجام کاری
ماست ها را کیسه کردن,هراسیدن و کنار گذاشتن سرکشی یا مخالفت.
صاف و پوست کنده,روشن و واضح و بدون پوشش
داخل ادم بودن,شخصیتی برجسته یا ارزشمند تلقی شدن
عشق دنیا را کردن,به شدت خوشحال و راضی بودن و از شادی لبریز شدن
پاپی کسی شدن,فردی را با اصرار زیاد یا پرسش‌های پیاپی تحت فشار قرار دادن یا اذیت کردن
جای چانه داشتن,امکان کاهش قیمت یا تغییر شرایط از طریق مذاکره وجود دارد.
اعصاب کسی خرد شدن,شدیداً خشمگین یا بی‌قرار یا مضطرب شدن
اخور خود را گم کردن,دخالت در امور دیگران.
