English Idiom,Farsi Idiom
A dime a dozen,____ __ ___
Bite the bullet,_____ ___ ___ ______
Get out of hand,__ ______ __ ____!
Go back to the drawing board,_____ __ ____ _ ___
It’s not rocket science,_____ _______ ___ ___
"No pain, no gain",______ ___ ___ ____ ______
Speak of the devil,__ ____ ____!
To get bent out of shape,__ _ ____ ______ ___!
To make matters worse,___ ____ ___
A bird in the hand is worth two in the bush,____ ___ _____ __ __ _____ ____ ____
A picture is worth 1000 words,_____ __ ___ _____ ____ 
Add insult to injury,___ ____ __ ____
Birds of a feather flock together,_____ __ _____ ___ __ ___
Bite off more than you can chew,____ ______ __ ___ ___ _______
By the skin of your teeth,__ ___ _ _____
Comparing apples to oranges,____ __ ______
Costs an arm and a leg,____ _______
Do unto others as you would have them do unto you,_ __ ____ ___ _______ ____ ______ __ _____
Don’t count your chickens before they hatch,____ __ ___ _____ ______
Don’t cry over spilt milk,__ ____ ___ ______ __ ___
Every cloud has a silver lining,__ ______ ___ ____ ___
Give someone the cold shoulder,__ ____ ____
Good things come to those who wait,__ ___ ___ _ ____ ____ ____
Hit the nail on the head,___ __ ___
Ignorance is bliss,__ ____ ___ ____
It’s a piece of cake,___ __ _____!
Kill two birds with one stone,__ __ ___ __ ____ ___!
Look before you leap,______ __ __ ___
On thin ice,___ _ ___
Saving for a rainy day,_____ ____ ___ _____
The devil is in the details,____ ___ _____ __ ___ ___ ___
The early bird gets the worm,______ ___ __ ______ ____
You can’t have your cake and eat it too,"__ __ __ ________ __ ____ __!"
Familiarity breeds contempt,____ _ _____
Haste makes waste,____ ___ ______
It is a poor workman who blames his tools,____ ___ ____ _____ ____ ____ ___
It is always darkest before the dawn,_____ __ ___ ____ ___
Leave no stone unturned,___ ____ ___ _ ____
Out of the frying pan and into the fire,__ ____ __ ___ ______
Shape up or ship out,__ __ ____ _____ _____ ___
The pot calling the kettle black,___ __ _____ ____ ___ ____
Time is money,___ _____
Zip your lip,___ ____ _____
where there is a will there is a way,______ _______ ___
he beats a dead horse,__ __ ____ ______
after death the doctor,___ ____ ___ __ ___ _____
"when you are in Rome,do as the Romans do",_____ ____ ____ _____ _____ __
knowledge is power,_____ ___ ____ ____ ___
all roads lead to Rome,__ ____ ___ _____ ____ ____
fish in troubled waters,__ __ __ ____ ____ _____
everyone is in the same boat,___ _ __ __ __ __ _____
take the plunge,__ __ _______
"easy comes,easy goes",___ _____ __ ___ __ ___
no news is good news,__ ____ ___ ____ ___
all is well that ends well,_______ ____ ___ ___
all that glitters is not gold,__ ____ __ ____ ___ ___
the blind leading the blind,____ __ _____ ___ ___
don’t look a gift horse in the mouth,_____ ___ ___ ___ __ ___ ______
many hands make light work,__ ___ ___ _____
The shoemaker’s wife goes the worst shod,____ __ __ ____ _____ __ __ ____
To get out of bed on the wrong side,__ ____ __ _______
one swallow does not make summer,__ __ __ ____ ___ ___
"Light come, light go",___ _____ __ ___ __ ___
His bread is buttered on both sides,____ __ ____ ___
Like a duck in thunderstorm,___ __ __ __ _____
To have a finger in every pie,____ __ ___ ____
There is no smoke without fire,__ _____ _____ ____ ______ _____
A burnt child dreads the fire,________ __ ______ ____ _ ____ __ ____
The devil take him.,___ __ ____
He robs his belly to cover his back.,__ ____ ____ ___ __ ___ ___ _____.
Strike while the iron is hot.,__ ____ ___ ___ ___ __ ______.
Cut your coat according to your cloth,____ __ __ _______ _____ ____ __.
He is on his last leg,____ __ ___ ___.
In the nick of time,__ ______
Harp on one string,__ ___ __ ___ ____
Come rain or shine,___ ___ __ _____ ___ _____
You can say that again,___ __ ____ _____/ ___ __ ___/ __ ____
Cutting corners,__ _ ___ __ __ _____
.A snake in the grass,___ ___ __ _ ___
.Add fuel to the fire,____ ____ _____
.Barking up the wrong tree,"___ ____ __ ____ __ ___ ____ ____ _____"
"Another day, another dollar","___ __ ___ ____ __ __"
"Too many cooks, spoil the broth.","____ __ __ __ ___ __ __ ___ _____ __ ______."
"Barking dogs, seldom bite.",___ ____ _____ _____.
Old habits die hard.,___ ____ ____ ___ ___.
Beauty is in the eye of the beholder.,___ ____ __ ___ ___ _____ ____.
"A friend in need, is a friend indeed.",____ __ ___ __ ____ ___ ____.
The grass is always greener on the other side of the fence.,___ ______ ____.
When the dust has settled.,____ ___ __ _____ _____.
A word before is worth two after.,___ ___ __ __ ___ ___.
What goes around comes around.,"__ __ ___ ____ __ ____ ___ _______."
Whatever comes up is welcomed.,__ __ ___ ___ ___ ___.
Ask much to have a little.,__ ___ ____ __ __ __ ____ ___.
Always have two strings to your bow.,___ __ _________ ___ _______.
All abroad and nothing at home.,"___ _____ __ ____."
"Much coin, much care.","__ __ ____ ____ ____ _____."
The sky will not fall in.,__ __ __ ____ ______ ____.
Money doesn’t grow on trees.,___ ___ ___ ____.
Seeking water in the sea.,__ __ ____ _ __ _________ ________.
You may end him but you’ll not mend him.,____ ___ ____.
You pay your money and you take your chance.,"__ ____ ___ ____ ________ __ _______."
"You want something done right, do it yourself.",__ _____ ___ __ __ ____ _____ __.
You can’t keep a man down.,______ _______ ___.
"See no evil, hear no evil, speak no evil.","___ _____ _____."
I am scrapping the bottom of the barrel.,______ __ __ ___ _____.
You must lie on the bed you have made.,___ ____ __ _____ ____.
You are a backseat driver.,____ ___ _____ _____ ____ __.
You may know by a handful the whole sack.,___ _______ ______.
You can’t dance at two weddings.,________ __ __ ___ __ __ _______ ______.
You must grin and bear it.,____ _____ _ _____.
Slow and steady wins the race.,____ __ ___ __ _____ _ ______ ___
"The little ants, the swift-runners",____ ____ __ ____ ____ ____ __ ____
.A stitch in time saves nine,____ ___ __ __ ____ _____ _____ ___.
.You can’t mend a broken egg,__ ____ __ ___ __ _____.
.Charity begins at home,_____ __ __ ____ _____ __ ____ ____ ___.
.Nothing hurts like the truth,_____ ___ ___.
.The cat dreams of mice,___ __ ____ ____ ____ ____.
God helps those who help themselves,__ __ ____ __ ___ ____.
